,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,5d,L7 at Amazon,0,Day2SLU,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Director-at-MasterCard-ANUi7ViE,Mastercard
1,5d,"If you’re L7, you might want to try for VP. If you join at Director you could push for accelerated promotion.I doubt Mastercard will match your Amazon comp.",1,Cryptonyte,nan,SEND PRIVATE MESSAGE,/post/Director-at-MasterCard-ANUi7ViE,Mastercard
2,5d,"I know a couple of L6s who joined MasterCard as Director, Product",0,start up?,/company/Microsoft/,Product,/post/Director-at-MasterCard-ANUi7ViE,Mastercard
3,5d,Depends. What’s your level at Amazon?,0,Cryptonyte,nan,SEND PRIVATE MESSAGE,/post/Director-at-MasterCard-ANUi7ViE,Mastercard
0,Mar 20,DM,1,mcseemee,/company/Mastercard/,SEND PRIVATE MESSAGE,/post/Looking-for-a-Mastercard-referral-CDm3UB0V,Mastercard
1,Mar 27,May I DM as well?,0,GhEv15,/company/Collins-Aerospace/,SEND PRIVATE MESSAGE,/post/Looking-for-a-Mastercard-referral-CDm3UB0V,Mastercard
2,Apr 1,Ye,0,mcseemee,/company/Mastercard/,SEND PRIVATE MESSAGE,/post/Looking-for-a-Mastercard-referral-CDm3UB0V,Mastercard
3,Mar 18,DM me,0,cdoA04,/company/Mastercard/,SEND PRIVATE MESSAGE,/post/Looking-for-a-Mastercard-referral-CDm3UB0V,Mastercard
4,Mar 19,Can I also DM?,0,sNWS84,nan,SEND PRIVATE MESSAGE,/post/Looking-for-a-Mastercard-referral-CDm3UB0V,Mastercard
5,Apr 1,DM,0,Visj47,/company/Mastercard/,SEND PRIVATE MESSAGE,/post/Looking-for-a-Mastercard-referral-CDm3UB0V,Mastercard
6,Mar 18,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Looking-for-a-Mastercard-referral-CDm3UB0V,Mastercard
7,Mar 18,+1,0,Gilfoyled,/company/Visa/,SEND PRIVATE MESSAGE,/post/Looking-for-a-Mastercard-referral-CDm3UB0V,Mastercard
0,Mar 16,Ask the person who referred you to follow up with HR and arrange 1st round of interview for you.,3,surmonk,/company/Mastercard/,SEND PRIVATE MESSAGE,/post/Getting-hired-at-Mastercard-Y73NMyNf,Mastercard
