,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Jun 24, 2018",This is a pretty good deal. It’s a 9600 sq ft lot,3,Baaaaaa,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
1,"Jun 24, 2018",And they can easily sell it for 10-12M. It was actually quite a steal.,2,Baaaaaa,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
2,"Jun 24, 2018",See it on HGTV next week,1,Atrous,nan,Eng,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
3,"Jun 24, 2018","""I'm a boutique tea taster. My husband's startup shut down with a medium post last week. Budget 5 million""",5,UMbR31,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
4,"Jun 24, 2018",Lol .. live in Palo Alto ?,0,Fffv,/company/Union-Bank/,SEND PRIVATE MESSAGE,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
5,"Jun 24, 2018",Gotta raise that round for his next fake startup son,0,UMbR31,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
6,"Jun 24, 2018","I could have bought five neighbors houses demolishing them, and build condo here where I live (NY). Rich people.",1,tc/gtfo,/company/Oscar-Health/,Eng,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
7,"Jun 24, 2018",And zoning allows apartment buildings?,0,omni,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
8,"Jun 24, 2018","There is one just 3 houses down, sure.",0,tc/gtfo,/company/Oscar-Health/,Eng,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
9,"Jun 24, 2018",That’s a prime location in one of the most expensive places to live in the world. Quite a good price,2,B13captain,/company/Facebook/,Eng,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
10,"Jun 24, 2018",Lol live in Palo Alto ?,0,Fffv,/company/Union-Bank/,SEND PRIVATE MESSAGE,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
11,"Jun 24, 2018",It could be closer to Uni Ave tho...,0,chicks,nan,Eng,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
12,"Jun 28, 2018",It sold for that price for two reasons:  It's Palo Alto.  And it's Palo Alto.  Don't try to think about real estate prices in Silicon Valley rationally!,1,GvTv43,/company/NBCUniversal/,Eng,/post/Did-this-home-really-sell-for-5M-wsFiJHxS,Emerson
0,"Jul 21, 2019",Lol check if leetcode has ladder logic problems.,2,truck,/company/Verizon/,Eng,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
1,"Jul 21, 2019",I think leet code is not relevant in process control. No one cares about this in our industry,0,pyxA48,/company/Emerson/,Eng,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
2,"Jul 21, 2019","It was a bad joke, anyhow you can try looking for job in the Oil Gas industry they pay good and they will help with H1b or best route is just apply for green card (NIW or through employer) directly.",0,truck,/company/Verizon/,Eng,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
3,"Jul 21, 2019",How many LC have you solved?,0,indood ,/company/Indeed/,Eng,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
4,"Jul 21, 2019",What do you mean by LC ?,0,pyxA48,/company/Emerson/,Eng,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
5,"Jul 21, 2019",Leet code.,0,micrusade,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
6,"Jul 21, 2019","Your timing is a bit off. They apply for H1Bs early in the year, you hear back in April and get your H1B (if approved) in October. So I think you are a few months too late, may have to wait till next year.",0,Queasy,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
7,"Jul 21, 2019",I know.This is the plan for next year,0,pyxA48,/company/Emerson/,Eng,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
8,"Dec 6, 2019",No green card lottery for Indians lol :(,0,kunjumo,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
9,"Jul 21, 2019",I'm not a software engineer. I'm a control system engineer. They work for industrial  process control.,0,pyxA48,/company/Emerson/,Eng,/post/Sponsorship-of-H1b-visa-for-control-system-engineer-xPCE88fY,Emerson
0,Jan 11,"A lot of private schools offer pre k. If your goal is to eventually go to private school, I would recommend starting with private school in pre k itself instead of going with a day care.Challenger, Harker, Stratford are some of the private schools in the area I know of.",2,boooyaaa,/company/Walmart/,SEND PRIVATE MESSAGE,/post/Day-Care-Preschool-recommendations-C8czOhWO,Emerson
1,Jan 11,"Thank you for the recommendations, but they need our kid to be 2-2.5 years at least before starting. We are looking for something from the time our kid is 1.5-2 years old.",0,Bmvs46,nan,SEND PRIVATE MESSAGE,/post/Day-Care-Preschool-recommendations-C8czOhWO,Emerson
2,Jan 11,Ah ok! That’s quite early for sure 😊,0,boooyaaa,/company/Walmart/,SEND PRIVATE MESSAGE,/post/Day-Care-Preschool-recommendations-C8czOhWO,Emerson
