,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,3d,1. Yes2. What do you mean?3. No4. DLS team will automatically update them. You should let your manager know you're considering taking leaveFMLA approval takes a few weeks. Do you have a doctor who will recommend FMLA for you?,1,Georgia M.,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Amazon-PIP-and-FMLA-queries-3oGfPYS3,Amazon
1,Yesterday,Maybe try getting leave for care of family member?,0,vahum,/company/Fanatics/,SEND PRIVATE MESSAGE,/post/Amazon-PIP-and-FMLA-queries-3oGfPYS3,Amazon
2,3h,What to do if one doesn't have a family member to look after?,0,FGGB76,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Amazon-PIP-and-FMLA-queries-3oGfPYS3,Amazon
3,3d,"They work for Amazon, what other reason? Do you see any other posters from other companies posting about being placed on PIP and asking for what to do?",2,good doge,nan,SEND PRIVATE MESSAGE,/post/Amazon-PIP-and-FMLA-queries-3oGfPYS3,Amazon
4,3d,Because Amazon!,2,ABC-CEO,/company/Google/,Eng,/post/Amazon-PIP-and-FMLA-queries-3oGfPYS3,Amazon
5,2d,"OP, keep us updated and let us know how things turn out. Lots of helpful folks on Blind helped me work through it, happy to pass it on.Also, don't ever let pippy Amazon make you doubt yourself.",2,Georgia M.,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Amazon-PIP-and-FMLA-queries-3oGfPYS3,Amazon
0,4d,"I was also in same boat - put on dev list after moving to new team and having to learn new things. I actually delivered a lot of results, but I guess it was easier for manager to keep me there so he can meet his pip quota",6,HbPw46,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Understanding-Amazon-PIP-cjRTwtzH,Amazon
1,4d,There is a forced attrition number. You might have been put into focus by the new manager to satisfy that number,4,clouderian,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Understanding-Amazon-PIP-cjRTwtzH,Amazon
2,3d,"Your PIP means your manager created fake evidence monologue on your performance so that they can get brownie points for mandatory 15% PIP target as part of ""hire and develop 10% best while PIP the rest as it suits""",2,anqnj,/company/Expedia/,SEND PRIVATE MESSAGE,/post/Understanding-Amazon-PIP-cjRTwtzH,Amazon
3,4d,It could be many very different things. Could be your manager needs a home for s friend of theirs. Forced reduction for budget? Even your manager having personal problems at home and using you as a punching bag.  If YOU KNOW you're good then just take that and move on. Use the pip time to interview for the future. There is never reason to fight a pip in any company. You will never win,1,AQDJ57,/company/Teradata/,SEND PRIVATE MESSAGE,/post/Understanding-Amazon-PIP-cjRTwtzH,Amazon
4,4d,"It’s Amazon, where bad managers are given unchecked power over their reports.... don’t try to fathom why bad Amazon managers exercise their HR supported PIP power badly - they just do.Get out into any of the many many many tech companies who are employee centric and position yourself into hiring panels to deny any tenured ex Amazon manager entry and stop this toxicity spreading.",0,Bello674,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Understanding-Amazon-PIP-cjRTwtzH,Amazon
0,May 12,"In case if you are afraid of pip, I have been with Amazon for 7 years. Worked in India and USA both with 5 different teams. I have never worried about pip even once during this time. I have seen a single case of pip till date in my team and I know that person was weak and was struggling since more than a year. I have seen people working just 6-7 hours and still doing fine. Obviously some times there will be more work hence you will be clocking more hours. WLB at Microsoft might be better than Amazon but I would suggest do not worry about pip.",2,Ujue73,/company/Amazon/,Eng,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
1,May 13,"OP, this person is full of shit. Microsoft is way better.",0,amzngboss,/company/Amazon/,Eng,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
2,May 13,😂😂😂 Even for the pay cut you mean?,0,aes1024,/company/Media.net/,Eng,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
3,May 12,"Based on your question, I think you have already made the choice. Good luck at Amazon!",6,bungie,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
4,May 14,Azure MS culture is also similar to Amazon?,0,vgmd87,/company/Visa/,SEND PRIVATE MESSAGE,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
5,May 14,Some azure teams I guess. But I am sure it's still better than Amazon,0,Hammerklav,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
6,May 12,"Amazon's mobility is the best. If the plan is to move aboard, stick with Amazon.",3,dkoqlx,/company/Uber/,Eng,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
7,May 12,Are there openings in Uber for 2y experience? I don't see anything.,0,ppppppl,/company/Paytm/,SEND PRIVATE MESSAGE,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
8,May 12,Hey sure Uber. Will drop you a dm in case i decide to interview. Frankly got a bit tired of them.,0,aes1024,/company/Media.net/,Eng,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
