,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Honeywell,IWarrior,nan,nan,"Hi guys! How much to expect from a SSE position in Honeywell Phoenix location.Also, please share if you know of what to expect in their onsite coding test and interviews. THanks much",0,0,2018-1-25 03:06:01,/post/Honeywell-HaEecvg5,Honeywell
0,Honeywell furloughs all North America employees,~turquoise,/company/Honeywell/,Product,#Furloughs announced yesterday for all divisions all over the US in April and May.Other geographies will do it in accordance with their local laws and regulations (last year they did have our teams in India and China take voluntary unpaid vacations too)Meanwhile we’re ramping up production for masks and other medical supplies and components for ventilators and hospitals. Saving lives at least for #covid,9,40,2020-3-25 21:36:05,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
0,Honeywell band 4,LxlP64,/company/Honeywell/,nan,How difficult is to get a band4 in Honeywell?,0,4,2019-11-18 15:50:19,/post/Honeywell-band-4-v3cagHtR,Honeywell
0,Honeywell Technical Interview,booty,nan,Eng,I’m graduating in the spring and I️ have a coding challenge with Honeywell. I’m curious if anyone knows what questions they typically ask / how hard is it?,1,11,2017-11-11 03:37:55,/post/Honeywell-Technical-Interview-KK7bM2Lq,Honeywell
0, honeywell compensation,userml16,/company/McKinsey/,nan,Any idea about compensation range for data scientist at Honeywell ?,0,8,2020-2-12 19:23:56,/post/honeywell-compensation-Na6jsWEW,Honeywell
0,Honeywell Charlotte NC,UfIP84,nan,Sales,Looking for insight on IoT account manager position at honeywell for the Charlotte area. TC 140k but sounds like a lot of it is from hitting targets and bonus. Anyone have experience at honeywell able to shed light on their experience? 8 yoe.,0,5,2019-9-5 17:19:11,/post/Honeywell-Charlotte-NC-vrW67iXM,Honeywell
0,Honeywell salary standard,230689ye,/company/Cognizant/,Other,Moving from cognizant to Honeywell Bangalore for data anyltics stream with 7.5yrs exp. What is the ideal salary package ?,1,7,2018-4-25 12:53:36,/post/Honeywell-salary-standard-RkEjCb74,Honeywell
0,Honeywell job grades/levels,engineertx,/company/Hewlett-Packard-Enterprise/,nan,Hello @honeywellWhat are the job levels/grades in #Honeywell for Software Engineers?,0,0,2020-10-21 06:04:30,/post/Honeywell-job-gradeslevels-wPS3Kv6M,Honeywell
0,Stay at Boeing for 70k TC or jump to Honeywell for 90k TC?,qth16,/company/Boeing/,nan,I’ve worked at Boeing for the last 6 years inSupply chain. I have a master degree and am a level 2 making 70k TC a year.I was just offered a job at Honeywell making90k TC a year. I’ve heard bad things about Honeywell though.Should I take the leap just on compensation alone? Or is there a reason I need to stay at Boeing?Thanks!,3,34,2021-4-6 21:39:01,/post/Stay-at-Boeing-for-70k-TC-or-jump-to-Honeywell-for-90k-TC-56apzbOs,Honeywell
0,Honeywell considering interviews,715ajsk,/company/Capital-One/,nan,Could someone give feedback on Honeywell Atlanta?,1,2,2019-3-5 03:00:19,/post/Honeywell-considering-interviews-RYUfiFVv,Honeywell
0,Honeywell IT director positions?,silverdesk,/company/Oracle/,nan,Any feedback on working in management at Honeywell? They are opening a new headquarters in Charlotte and I’m curious if anybody could provide feedback on office life. How bad is it?,0,12,2019-2-15 00:10:34,/post/Honeywell-IT-director-positions-MUQf7Hc1,Honeywell
0,Referral Request - Honeywell,cecilj,nan,nan,"Hi all,Can anyone help me out by giving me a referral for Honeywell? The role I want to apply for is Quality Control Analyst. I have 8 YOE.More than happy to share my resume and go over my qualifications. #referral #honeywell",1,1,2021-3-2 22:55:06,/post/Referral-Request---Honeywell-xzZaB573,Honeywell
0,Director at Honeywell Phoenix,wtmj,nan,nan,"What should I expect in terms of compensation including signing bonus, base, bonus, and 401K? Thanks!",2,1,2018-2-14 20:27:00,/post/Director-at-Honeywell-Phoenix-kBNK4sBh,Honeywell
0,Managers retiring Voluntarily at Honeywell,wfh🏡🛏,/company/Honeywell/,nan,Managers taking early retirement voluntarily or force to retire with some good package.#covid-19,1,3,2020-9-19 05:58:45,/post/Managers-retiring-Voluntarily-at-Honeywell-fE1aznk1,Honeywell
0,"VC company, Honeywell, Kubler?",UfIP84,nan,Sales,"Looking for opportunities to grow myself and a business. Currently in discussions with BlueRidgeAI - requires me to relocate to the baltimore/dc area, haven't truly discussed comp. Currently living in Charlotte, NC.Current offers:CharlotteHoneywell sounds like it's around 154k with 100k base and 54% commission MBO, uncapped potential sensor IoT businessCharlotteKubler sounds like 150k (ish?) Total comp plan.BaltimoreVC Sensor companyHaven't discussed comp, relo, sign on. Opportunity sounds great with Machine Learning and Sensor market, high quality team. VC seed funded company.Help me with a decision and or info. Haven't worked for a vc before. Any insight?",1,1,2019-9-14 01:44:40,/post/VC-company-Honeywell-Kubler-TfmeAxsS,Honeywell
0,Seeking Referral at Honeywell,MS_,/company/Tata-Consultancy-Services/,Eng,"I have a good problem solving, did 3 Internships.I have one job openings, please let me know if anyone can help!Batch : 2021",0,6,2020-10-15 03:42:51,/post/Seeking-Referral-at-Honeywell-MfJcQQAu,Honeywell
0,Does anyone else think Honeywell HR sucks! ,9maverick,/company/Honeywell/,Eng,Honeywell HR drags their asses on each and every little thing. Anyone else notice that? And when they have to make things work internally they’ll Bend over backwards. Has anyone else seen that?,0,0,2020-12-18 19:59:20,/post/Does-anyone-else-think-Honeywell-HR-sucks-AUZi6OX8,Honeywell
0,Having some challenges scheduling interviews because of Honeywell micromanagement getting in the way,zzLX50,/company/Honeywell/,nan,I work HON for  the past two years and the micromanagement has become from stressful to unbearably affecting the quality of life and health. I won't get into details about the situation but my boss is constantly calling me and at my desk  asking for things every two minutes. Is it acceptable to tell new employers to be flexible with timing interviews because of dealing with micro managers? How would you handle this if you are on constant lockdown and hard to get away to eve find a new job?,1,9,2019-8-30 20:08:44,/post/Having-some-challenges-scheduling-interviews-because-of-Honeywell-micromanagement-getting-in-the-way-q5dbt4U7,Honeywell
0,Compensation comparison between product management & engineering at Honeywell Building Solutions,v_nwaneri,/company/Honeywell/,nan,"I’m reaching my 2 year mark at Honeywell Building Solutions group as a energy measurement & verification engineer. I’m looking to either go into product management for my next role, or stay in the technical side and try to work my way up to a service/project/program management/supervisory role. What are the pros and cons in compensation to keep in mind about both paths, i.e. pay band structures, promotion opportunities, standard pay raise potential, etc.I am also interested for those who have insight about his from other companies.",0,1,2019-11-7 00:22:52,/post/Compensation-comparison-between-product-management-engineering-at-Honeywell-Building-Solutions-iq8cUwHa,Honeywell
0,"One of my friends is a Staff software engineer at Intuit. He is interested in Architect positions in Myntra, Honeywell",☔🌧🌨,/company/Microsoft/,nan,"I have no idea about these companies. Those who work there, can you comment? His YOE is 12 and TC is 80+LPA. I have no idea about his base.How good are these companies with respect to WLB and promotion? Looks like he wants to jump ship to have a higher level with better TC.Any idea about the range of salary they offer?#engineering #software #swe #Myntra #Flipkart #Honeywell",1,1,2020-10-18 23:22:50,/post/One-of-my-friends-is-a-Staff-software-engineer-at-Intuit-He-is-interested-in-Architect-positions-in-Myntra-Honeywell-eUfQKNMU,Honeywell
0,Pls rate my offer,engineertx,/company/Hewlett-Packard-Enterprise/,nan,"130k base for Advanced SDET @Honeywell Texas.No signon, No StocksYOE- 15#honeywell",1,3,2020-10-23 03:44:59,/post/Pls-rate-my-offer-xqziwTmW,Honeywell
0,Engg Manager vs NON SWE role,Newbie1987,/company/Honeywell/,nan,Is NON SWE role at Google better than Engg Manager role at Honeywell?TC is more or less same,1,18,2019-11-21 01:04:26,/post/Engg-Manager-vs-NON-SWE-role-SHQFjpnr,Honeywell
0,Which Hepa air purifier do you own at home?,ruwi,/company/Google/,nan,"Shortlisting a good air purifier for home. What are your views on:1) “Hathaspace Smart True HEPA AIR PURIFIER 2.0 with medical grade H13 HEPA filter HSP002”?2) “wagner switzerland air purifier WA777 hepa13”3) Honeywell HPA300 Hepa purifier 4) other - share in commentsHave preference for HEPA purifiers without any ionisation/uv/plasma technology as they tend to emit Ozone gas.Also H13 is medical grade HEPA, so any recommendations on that line would be great!Tc: 300k#remotework #wfh #Airfilter #cleanair",0,8,2021-5-23 08:08:11,/post/Which-Hepa-air-purifier-do-you-own-at-home-g5wQFSwR,Honeywell
