,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Qualcomm Offer Evaluation,jagsd,/company/Intel/,nan,"Hi, I wanted to evaluate the offer from Qualcomm.Base 160kRSU: 75k/3Signon: 30kYOE: 6.5Location: SCRole: Physical Design.How do you guys think this offer holds up against industry standard or even by Qualcomm standards?Any inputs would be appreciated.",5,55,2021-5-6 19:26:25,/post/Qualcomm-Offer-Evaluation-7t7XWn71,Qualcomm
0,Intel or Qualcomm,lolacutty,/company/Cadence-Design-Systems/,nan,"I have offers from Intel (Desktop) and Qualcomm(Modem). Not looking at TC, which would be a better pick if I want to have a WLB and grow at the same time. This is for DV.Intel : 270KQualcomm:290KCurrent: 160",5,108,2021-3-7 03:18:25,/post/Intel-or-Qualcomm-4zfJGFow,Qualcomm
0,Intel vs Qualcomm,vLCm17,/company/Samsung/,nan,"Hey Guys,Have job offer from qualcomm and intel. Need suggestion which one to join in terms of-Work life-Growth opportunities-Appraisals and refreshers-Job security",0,13,2021-5-18 19:11:50,/post/Intel-vs-Qualcomm-m0Xt3476,Qualcomm
0,Qualcomm offer evaluation help,🛍 the job,/company/Intel/,nan,"Staff ASIC DesignBase: $145kStocks: 75k/3Signon: 45kLocation is SD but might be okay with Austin. Still checkingSeems low for staff. It’s with SOC team. Recruiter seems very adamant that base will not go higher than $150k and stocks sign on are already max.I am waiting on few offers but told recruiter that I have them already which are higher than this.Please help!Current TC: $170k, G7, 5.5 yoeEdit1: Qualcomm base increased to 149k and Austin location. Rest is same.",7,83,2021-3-3 01:38:50,/post/Qualcomm-offer-evaluation-help-ncqgctQ2,Qualcomm
0,Intel vs Qualcomm new grad,GqnR01,/company/Apple/,nan,Asking for a friend.Got two offers for new grad position at Intel SC and Qualcomm SD (only verbal offer from QC yet). Deadline to accept Intel offer is very soon. But Qualcomm recruiter said they can only generate the offer letter 3-4 days after Intel deadline. More inclined towards Qualcomm. Seems like a better role and place. Will I get blacklisted if I accept Intel now and reject later?TC at Intel: 115k + 20k + 30k/3 (no relocation)TC at QC: 108k + 25k + 40k/3 + 10k relocation,2,49,2021-4-26 19:24:41,/post/Intel-vs-Qualcomm-new-grad-3HXPqxqF,Qualcomm
0,Qualcomm offer negotiation ,iONh30,nan,nan,Hi! my current offer from qualcomm for sw engineer position is:Base: 105k$Sign on: 25k$Stocks: 40k$ RSU Relocation: 5k$Location: San Diego But my current company made a counter of 155k$ base salary. What new numbers should i be asking qualcomm  based on my counter ?#semiconductor #qualcommsalary #offers #qualcomm,2,26,2021-4-21 22:02:51,/post/Qualcomm-offer-negotiation-DZiEM2cm,Qualcomm
0,Qualcomm reviews/rsus/bonus,iiiiiia,/company/Intel/,nan,"Hi all,I heard Qualcomm's review process for the year is around sept/oct. so my question is if someone is joining in July/August time frame does he get anything in the October's review cycle in terms of bonus, stock refreshers etc....  #engineer #hardware #qualcommthis is for hardware engineering team",7,30,2021-4-15 14:11:00,/post/Qualcomm-reviewsrsusbonus-Mec08Cmd,Qualcomm
0,Qualcomm sync up call with HM,pTww02,/company/Nokia/,nan,"I interviewed with Qualcomm in September 2019. I was offered a base salary of 105k which I ultimately rejected. I was getting a base salary of 130k in Nokia at that time and it didn’t make sense to go to Qcomm with 25k less in my pocket. It has been almost 1.5 years now and I reached out to the manager again on LinkedIn . My idea was that after gaining some experience at Nokia, I could be hired as a Senior Engineer which might justify the switch. He wants to do a sync up call with me in a couple of days.My current base salary at Nokia is 140k and my performance review for this year is currently pending. My manager verbally told me that he will initiate my level increase formalities in this quarter and I expect around 7-10k raise if not more. I also received 60k worth of stocks in April from Nokia.I want a base salary of at-least 140k in order for me to consider the switch but knowing that I approached the manager on LinkedIn, will it piss him off if I quote 140k and ultimately decline the offer because of low salary after making the first move myself? Is that even realistic to ask for 140k in San Diego considering that I have 2 YOE ? My current location is Bay Area but as far as I know, the cost of living in San Diego is pretty much the same as Bay Area. Also, can I push for being hired as a Senior Engineer ?",0,39,2021-5-12 22:00:59,/post/Qualcomm-sync-up-call-with-HM-81CRRBva,Qualcomm
0,Qualcomm offer negotiation help,KMT001,/company/Renesas-Electronics/,nan,"Previously confirmed with HR on numbers 144k base, 80k RSU, 36k sign on bonus, and 10k relocation. It was pending approval but three weeks later, a different HR called me that the new offer would be 144k/75k RSU/29k sign on/5k relocation.Staff engineer, PhD plus 5 YOE.  Not happy about reduction, for sure. Any suggestions?Current TC is 178k per YR.Edit: Qualcomm raised the sign on to 40k from 36k. RSU is 75k and 5k relocation, no change on base. Thank you for all the suggestions. ",1,39,2021-4-8 05:00:22,/post/Qualcomm-offer-negotiation-help-PNzJkurW,Qualcomm
0,Qualcomm offer evaluation,iiiiiia,/company/Intel/,nan,Senior Physical Design engineer  (Austin TX)Base: 122kRSU: 60kbonus: 30kYOE: 4+current TC base: 109Kbonus: 15kRSU: 10kis this a decent offer  to switch company ?  #qualcomm #intel #semiconductor #hardware #physical design,3,3,2021-5-20 18:04:00,/post/Qualcomm-offer-evaluation-iLgbFaCc,Qualcomm
