,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,Yesterday,Happy to help,1,PytK17,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RDgBijWQ,Adobe
1,12h,Hey would it be possible to help me too? ( I'm out of Dms),0,G~~~,/company/Cisco/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RDgBijWQ,Adobe
2,9h,Sure,0,PytK17,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RDgBijWQ,Adobe
3,2d,Hit me up,0,burgy,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RDgBijWQ,Adobe
4,Yesterday,"Hey, mind if I DM you as well?",1,devsec0ps,/company/State-Farm/,IT,/post/Adobe-referral-RDgBijWQ,Adobe
5,2d,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RDgBijWQ,Adobe
0,Feb 28,I can refer. DM if haven't been referred yet.,1,Iam404,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
1,Mar 30,Can I dm as well?,0,ySnG42,/company/Capital-One/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
2,Apr 1,"Hi, can I DM for adobe referral too?",0,sYiz82,/company/Palo-Alto-Networks/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
3,Feb 28,I can refer you. DM me.,1,DeLister,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
4,Mar 2,"Hi,  Can I DM you for referral?",0,Cwng83,/company/Barclaycard/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
5,Apr 1,"Hi, can I DM for adobe referral too?",0,sYiz82,/company/Palo-Alto-Networks/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
6,Mar 2,Yes sure,0,vGbM40,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
7,Mar 7,"Hi, can I DM you for a referral?",0,IXon73,/company/Salesforce/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
8,Mar 22,Can i DM you as well?,0,Ten11,/company/Kaiser-Permanente/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
9,Feb 28,"I can refer, please DM me",0,vGbM40,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
10,Mar 1,Can I please DM you for referral?,0,XxkD20,/company/NortonLifeLock/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
11,Apr 1,"Hi, can I DM for adobe referral too?",0,sYiz82,/company/Palo-Alto-Networks/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
12,Feb 27,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-Mfd344Vx,Adobe
0,Apr 5,Sure. Send me your resume and link to refer.,0,roud46,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-Referrals-s7sDKVg3,Adobe
1,May 4,"Hey, can I DM you too for a SWE role?",0,kwinican,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Adobe-Referrals-s7sDKVg3,Adobe
2,2d,Can I DM you for referral @roud46,0,bincache,/company/Mahindra-Comviva/,SEND PRIVATE MESSAGE,/post/Adobe-Referrals-s7sDKVg3,Adobe
3,Apr 4,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Adobe-Referrals-s7sDKVg3,Adobe
0,Apr 20,"If it's in DX, do not apply. :)",0,DLTW74,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RhhLCBzC,Adobe
1,Apr 20,Digital Experience,0,DLTW74,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RhhLCBzC,Adobe
2,Apr 20,Why? Are they not hiring? I see a bunch of ML positions. Not sure which org is it though.,0,iamlegman,nan,SEND PRIVATE MESSAGE,/post/Adobe-referral-RhhLCBzC,Adobe
3,Apr 20,DM for PayPal if interested,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RhhLCBzC,Adobe
4,Apr 20,Is that experience cloud? I am UX designer,0,CUHF82,/company/GoDaddy/,SEND PRIVATE MESSAGE,/post/Adobe-referral-RhhLCBzC,Adobe
0,Apr 15,DM your resume and the position,0,LdXk04,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-HWjxuUiQ,Adobe
1,Apr 17,"Thanks, I’ve DMed you",0,fMsQ31,nan,SEND PRIVATE MESSAGE,/post/Adobe-Referral-HWjxuUiQ,Adobe
2,May 1,Can I DM too? I am an experienced software engineer and saw some matching opportunities at Adobe.,0,@spaceTime,/company/Levi-Strauss--Co/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-HWjxuUiQ,Adobe
0,Apr 22,Happy too! DM,0,LdXk04,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-please-R2sGLgLs,Adobe
1,Apr 28,15 YOE. Looking for referral. Can you please DM. Out of DMs for this month.,0,tobyyyy,/company/VMware/,SEND PRIVATE MESSAGE,/post/Adobe-referral-please-R2sGLgLs,Adobe
2,May 4,"Hey, can I DM you too for a SWE role?",0,kwinican,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Adobe-referral-please-R2sGLgLs,Adobe
3,Apr 20,Sure. Send me the resume,0,whatspp,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-please-R2sGLgLs,Adobe
4,Apr 28,15 YOE. Looking for referral. Can you please DM. Out of DMs for this month.,0,tobyyyy,/company/VMware/,SEND PRIVATE MESSAGE,/post/Adobe-referral-please-R2sGLgLs,Adobe
5,May 4,Hey can I DM you too for a swe role?,0,kwinican,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Adobe-referral-please-R2sGLgLs,Adobe
6,Apr 20,DM for PayPal if interested,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Adobe-referral-please-R2sGLgLs,Adobe
7,Apr 19,+1,0,halpert,/company/Nike/,Product,/post/Adobe-referral-please-R2sGLgLs,Adobe
0,May 12,"Oracle is on huge hiring surge rn; if you are interested, I can help you with a referral (please DM).",0,Qwerty007!,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Adobe-Referrals-GX2wGZSj,Adobe
0,Mar 9,Dm your resume,1,EDOE65,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-NkxYgsyG,Adobe
1,Mar 10,Can I DM too?,0,JKoy15,/company/Geico/,SEND PRIVATE MESSAGE,/post/Adobe-referral-NkxYgsyG,Adobe
2,Mar 14,Can I DM too?,0,amzn4000,nan,SEND PRIVATE MESSAGE,/post/Adobe-referral-NkxYgsyG,Adobe
3,Mar 14,Can I Dm too?,0,amzn4000,nan,SEND PRIVATE MESSAGE,/post/Adobe-referral-NkxYgsyG,Adobe
0,Mar 15,Dm me!,1,7ptnao,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-pPHXHdT5,Adobe
1,Mar 17,Can I DM you as well?,0,GhEv15,/company/Collins-Aerospace/,SEND PRIVATE MESSAGE,/post/Adobe-referral-pPHXHdT5,Adobe
2,Mar 11,Sure DM me,0,SQrJ23,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-referral-pPHXHdT5,Adobe
3,Mar 14,Can you refer me as well?,0,amzn4000,nan,SEND PRIVATE MESSAGE,/post/Adobe-referral-pPHXHdT5,Adobe
0,May 15,Make sure this position is not in DX.,1,saipan,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-Referrals-m6NQWB1E,Adobe
0,Mar 24,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Adobe-referral-001fuTYh,Adobe
1,Mar 24,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Adobe-referral-001fuTYh,Adobe
0,Apr 12,Depends on the team. My team tries to move pretty quickly,1,madonn4,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
1,Apr 14,2 rounds! Experience cloud,0,kiryu,/company/VMware/,SEND PRIVATE MESSAGE,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
2,Apr 20,Oh nice! And how many rounds in the onsite?,0,CExF00,/company/Ambarella/,SEND PRIVATE MESSAGE,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
3,Apr 12,It took two months for my offer. Some teams  interview a lot of candidates before inviting them for onsite. It takes times.,1,uber_jar,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
4,Apr 12,"thank you, this works well for me",0,x‎,/company/IBM/,SEND PRIVATE MESSAGE,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
5,Apr 13,Which team did you interview for? Any idea about Adobe Research?,0,CExF00,/company/Ambarella/,SEND PRIVATE MESSAGE,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
6,Apr 19,Plan on months. We are slow as hell,0,chongche,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
7,Apr 15,It took me a month from screening to offer,0,QSYI54,/company/Cisco/,SEND PRIVATE MESSAGE,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
0,Apr 7,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Adobe-Referral-YnZP1GN8,Adobe
