,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,3d,"If it’s first year and recruiter says it’s guaranteed, it’s guaranteed. Second  year it might or might not go down.",5,elon_melon,/company/Goldman-Sachs/,Eng,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
1,3d,If it goes down it is time for you to start preparing your exit,2,exit2020,/company/Morgan-Stanley/,SEND PRIVATE MESSAGE,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
2,3d,That makes sense,0,8j33l,/company/AlphaSights/,Eng,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
3,3d,I’ve also just been told a whisper bonus. I have the same question.,2,quNi37,/company/Facebook/,SEND PRIVATE MESSAGE,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
4,3d,"Just make sure you are not working on slang, else you will really get stuck",1,fin_engg,/company/Goldman-Sachs/,SEND PRIVATE MESSAGE,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
5,2d,@quNi37 - I am still surprised that GS pays more than FB in any region ... We're u underpaid in FB ?,0,ballet,/company/Goldman-Sachs/,SEND PRIVATE MESSAGE,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
6,3d,In first year also the bonus is pro rated . If you served 6 months then you will get half the amount.,3,gold_monk,/company/Goldman-Sachs/,SEND PRIVATE MESSAGE,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
7,3d,The bonus was not pro rated for me. I joined the firm around June and got full bonus. It also depends upon the negotiation.,2,elon_melon,/company/Goldman-Sachs/,Eng,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
8,3d,campus hire in India so maybe it’s different,0,gold_monk,/company/Goldman-Sachs/,SEND PRIVATE MESSAGE,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
9,3d,Are you joining Marcus ?,1,elon_melon,/company/Goldman-Sachs/,Eng,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
10,3d,"No, I will be joining asset management division",0,8j33l,/company/AlphaSights/,Eng,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
