,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Sep 14, 2020","Regulators in CH will never let this happen, but it should. Both banks have floundered for years and need each other to build scale and compete",4,antishock,/company/Bny-Mellon/,SEND PRIVATE MESSAGE,/post/Credit-Suisse---UBS-Merger-jHPy5c19,Credit-Suisse
1,"Sep 14, 2020",Theatrics for a share boost. A banking conglomerate like that is no good for anyone but shareholders.,2,YnTz82,/company/Credit-Suisse/,Project,/post/Credit-Suisse---UBS-Merger-jHPy5c19,Credit-Suisse
2,"Sep 14, 2020",theres like a 0.1% chance this will happen😂,2,verynice.,/company/UBS/,SEND PRIVATE MESSAGE,/post/Credit-Suisse---UBS-Merger-jHPy5c19,Credit-Suisse
3,"Sep 15, 2020","There is certainly higher incentive to make this happen then other mergers. These are successful banks each with their individual strengths.As to being an employee of the bank, it’s probably net negative. Unless you are a very large producer - and larger than the equivalent producer at the other bank! The top employees and revenue drivers should expect a increase in compensation (5-15% on average), while the operational functions will see a net reduction in TC as part of the cost control tactics done in almost all mergers.",1,nKWn00,nan,SEND PRIVATE MESSAGE,/post/Credit-Suisse---UBS-Merger-jHPy5c19,Credit-Suisse
4,"Sep 15, 2020",Might be more of an international thing than US,1,YSP45,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Credit-Suisse---UBS-Merger-jHPy5c19,Credit-Suisse
0,"Dec 20, 2018",Why is this even a question?,22,PiWs35,/company/Uber/,SEND PRIVATE MESSAGE,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
1,"Dec 20, 2018",Dev at BB is a joke. But I doubt you’d get the Jane Street offer - it’s much much harder to get in than either G or Uber,10,Kemonsy,/company/Google/,SEND PRIVATE MESSAGE,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
2,"Dec 20, 2018","Bulge bracket - the biggest investment banks like Goldman Sachs, JP Morgan, Credit Suisse etc.",1,Kemonsy,/company/Google/,SEND PRIVATE MESSAGE,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
3,"Dec 20, 2018",Why is it easy?,0,Neopets😍,/company/Google/,Eng,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
4,"Dec 20, 2018",Jane Street has maximum prestige,6,Tier 1,/company/Microsoft/,Eng,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
5,"Dec 20, 2018",Jane Street is highly regarded but OCaml tho,5,L7@AWS,/company/Google/,SEND PRIVATE MESSAGE,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
6,"Dec 20, 2018",OCaml is just a worse version of F#,0,Tier 1,/company/Microsoft/,Eng,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
7,"Dec 20, 2018","Question you should be asking is, which companies want you? Getting offer is not going to be a cake walk.",5,blind1186,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
